_cargar_datos_tabla | A1 | valor='TENDIDOS' | font_size=6.0
_cargar_datos_tabla | F1 | valor='EQUIPOS' | font_size=6.0
_cargar_datos_tabla | G1 | valor='COORDENADAS' | font_size=6.0
_cargar_datos_tabla | J1 | valor='POSTE' | font_size=6.0
_cargar_datos_tabla | L1 | valor='CIMENTACIÓN' | font_size=6.0
_cargar_datos_tabla | N1 | valor='ARMADOS' | font_size=6.0
_cargar_datos_tabla | A2 | valor='No. Apoyo' | font_size=6.0
_cargar_datos_tabla | B2 | valor='Tipo de Apoyo' | font_size=6.0
_cargar_datos_tabla | C2 | valor='Cantón' | font_size=6.0
_cargar_datos_tabla | D2 | valor='Conductor' | font_size=6.0
_cargar_datos_tabla | E2 | valor='Tipo Tense' | font_size=6.0
_cargar_datos_tabla | F2 | valor='Reconectador' | font_size=6.0
_cargar_datos_tabla | G2 | valor='X' | font_size=6.0
_cargar_datos_tabla | H2 | valor='Y' | font_size=6.0
_cargar_datos_tabla | I2 | valor='Z' | font_size=6.0
_cargar_datos_tabla | J2 | valor='h/CR' | font_size=6.0
_cargar_datos_tabla | K2 | valor='Origen' | font_size=6.0
_cargar_datos_tabla | L2 | valor='Tipo' | font_size=6.0
_cargar_datos_tabla | M2 | valor='Terreno' | font_size=6.0
_cargar_datos_tabla | N2 | valor='No. Perfor' | font_size=6.0
_cargar_datos_tabla | O2 | valor='Tipo de Armado' | font_size=6.0
_cargar_datos_tabla | P2 | valor='No. Fases' | font_size=6.0
_cargar_datos_tabla | A3 | valor='EPE 001' | font_size=7.0
_cargar_datos_tabla | B3 | valor='ANC' | font_size=7.0
_cargar_datos_tabla | C3 | valor=9 | font_size=7.0
_cargar_datos_tabla | D3 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E3 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G3 | valor='-75.61948' | font_size=7.0
_cargar_datos_tabla | H3 | valor='9.15025' | font_size=7.0
_cargar_datos_tabla | I3 | valor='-0.1647399884' | font_size=7.0
_cargar_datos_tabla | J3 | valor='12/735' | font_size=7.0
_cargar_datos_tabla | K3 | valor='O' | font_size=7.0
_cargar_datos_tabla | N3 | valor=1 | font_size=7.0
_cargar_datos_tabla | O3 | valor='Horizontal' | font_size=7.0
_cargar_datos_tabla | P3 | valor=3 | font_size=7.0
_cargar_datos_tabla | A4 | valor='EPE 002' | font_size=7.0
_cargar_datos_tabla | B4 | valor='FL' | font_size=7.0
_cargar_datos_tabla | C4 | valor=10 | font_size=7.0
_cargar_datos_tabla | D4 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E4 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G4 | valor='-75.618472' | font_size=7.0
_cargar_datos_tabla | H4 | valor='9.150488' | font_size=7.0
_cargar_datos_tabla | I4 | valor='0' | font_size=7.0
_cargar_datos_tabla | J4 | valor='12/735' | font_size=7.0
_cargar_datos_tabla | K4 | valor='O' | font_size=7.0
_cargar_datos_tabla | N4 | valor=1 | font_size=7.0
_cargar_datos_tabla | O4 | valor='Horizontal' | font_size=7.0
_cargar_datos_tabla | P4 | valor=3 | font_size=7.0
_cargar_datos_tabla | A5 | valor='EPE 003' | font_size=7.0
_cargar_datos_tabla | B5 | valor='FL' | font_size=7.0
_cargar_datos_tabla | C5 | valor=6 | font_size=7.0
_cargar_datos_tabla | D5 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E5 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G5 | valor='-75.618349' | font_size=7.0
_cargar_datos_tabla | H5 | valor='9.150169' | font_size=7.0
_cargar_datos_tabla | I5 | valor='0' | font_size=7.0
_cargar_datos_tabla | J5 | valor='12/735' | font_size=7.0
_cargar_datos_tabla | K5 | valor='N' | font_size=7.0
_cargar_datos_tabla | N5 | valor=1 | font_size=7.0
_cargar_datos_tabla | O5 | valor='Horizontal' | font_size=7.0
_cargar_datos_tabla | P5 | valor=2 | font_size=7.0
_cargar_datos_tabla | A6 | valor='EPE 004' | font_size=7.0
_cargar_datos_tabla | B6 | valor='FL' | font_size=7.0
_cargar_datos_tabla | C6 | valor=5 | font_size=7.0
_cargar_datos_tabla | D6 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E6 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G6 | valor='-75.618446' | font_size=7.0
_cargar_datos_tabla | H6 | valor='9.150495' | font_size=7.0
_cargar_datos_tabla | I6 | valor='1.346387069' | font_size=7.0
_cargar_datos_tabla | J6 | valor='12/735' | font_size=7.0
_cargar_datos_tabla | K6 | valor='N' | font_size=7.0
_cargar_datos_tabla | N6 | valor=1 | font_size=7.0
_cargar_datos_tabla | O6 | valor='Horizontal' | font_size=7.0
_cargar_datos_tabla | P6 | valor=2 | font_size=7.0
_cargar_datos_tabla | A7 | valor='EPE 005' | font_size=7.0
_cargar_datos_tabla | B7 | valor='FL' | font_size=7.0
_cargar_datos_tabla | C7 | valor=7 | font_size=7.0
_cargar_datos_tabla | D7 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E7 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G7 | valor='-75.616241' | font_size=7.0
_cargar_datos_tabla | H7 | valor='9.151504' | font_size=7.0
_cargar_datos_tabla | I7 | valor='-1' | font_size=7.0
_cargar_datos_tabla | J7 | valor='12/735' | font_size=7.0
_cargar_datos_tabla | K7 | valor='N' | font_size=7.0
_cargar_datos_tabla | N7 | valor=1 | font_size=7.0
_cargar_datos_tabla | O7 | valor='Horizontal' | font_size=7.0
_cargar_datos_tabla | P7 | valor=2 | font_size=7.0
_cargar_datos_tabla | A8 | valor='EPE 006' | font_size=7.0
_cargar_datos_tabla | B8 | valor='ANC' | font_size=7.0
_cargar_datos_tabla | C8 | valor=8 | font_size=7.0
_cargar_datos_tabla | D8 | valor='AAAC 123,3 kcmil' | font_size=7.0
_cargar_datos_tabla | E8 | valor='Normal' | font_size=7.0
_cargar_datos_tabla | G8 | valor='-75.61604' | font_size=7.0
_cargar_datos_tabla | H8 | valor='9.150471' | font_size=7.0
